Item,Link,Quantity,Cost,Total,Purpose,Total ,Notes,Rationale
"4"" OD x 16"" Acrylic Vase",Amazon,1,$17.00,$17.00,Vessel,$486.48,"Clear Flower Vase, Non-breakable Vases, 4"" W x 16"" H, Acrylic Vase,","High height/diameter ratio means more gas residency time, which increases carbon sequestration. Narrow diameter prevents self-shading. Acrylic is clear and cheap."
Input Filter,Amazon,1,$15.99,$15.99,Filter inside air,,Air Venting Filter Sterile PTFE Hydrophobic Filter Disc 50mm 0.22μm ,Inline means it's easy to integrate into tubing lines without janky modifications. 0.20 microns is a good amount of filtering without crazy high levels of backpressure.
Output Filter,Amazon,1,$21.99,$21.99,Filter outside air,,"50mm 0.1um Hydrophobic PTFE Membrane Filter,OD 5CM,","50mm is the largest size filter that fits the top cap, minimizing backpressure. 0.1 um is important to prevent the air smelling like a photobioreactor. Hydrophobic filter prevents culture from evaporating."
Air Stone,Amazon,1,$18.48,$18.48,Aerate Culture,,"hygger Air Stones for Aquariums, Transparent Acrylic Fish Tank Bubbler Kit with Air Tube","Fine air bubbles increase surface area, mixing, and therefore productivity. This specific airstone was chosen for its EPDM foam design instead of ceramic bubbles, making it easy to clean and hard to clog."
Air Pump,Amazon,1,$18.99,$18.99,Give Air Stone Power,,"AQQA Aquarium Air Pump Fish Tank Aerator Pump Battery Backup Fish Oxygen Pump Rechargeable Portable Bubbler Pump with Air Stone, Air Tube & Check Valve (1.5W 80GPH)","It is DC-powered, as opposed to the vast majority of pumps at this volume range that are AC-powered. It has good reviews and vibration-insulating feet."
Light,Amazon,1,$12.49,$12.49,algae lighting,,Qasim 1 Pair 90MM 66SMD COB LED for Angel Eyes Halo Ring DRL LED Fog Light Lamp with Cover White 12V 24V DC ,EXTREME brightness at a low cost. Easy to control with a MOSFET; just 12V and GND wires. 
Peristaltic Pump,Amazon,1,$39.62,$39.62,Dispense Nutrients; Harvest Algae,,Kamoer KPHM600-SW3B17 600ml/min high flow rate peristaltic pump 12V DC brush motor liquid dosing pump BPT tube ,"Low cost, high quality BPT tubing, comaptible with chosen tubing size, high flow rate, brushed motor decreases cost and is easy to control with a motor driver."
RECs,Terrapass,0.1,$8.00,$0.80,Cancels out the non-renewable power SOPHON uses.,,"In quantity, type in 0.1. For recipient, type in ""Hallie Wells MS (SOPHON)"". This is a certificate, not physical product.","Technically, this iteration of SOPHON isn't carbon-negative due to budget constraints. In the interest of still contributing to carbon capture, we purchased 0.1 MWh worth of renewable electricity, which is enough to cover the carbon cost of running SOPHON for 1 year!"
Manifold,McMaster,1,$36.62,$36.62,"Cornerstone of SOPHON, elegantly wires up liquid.",,"Right-Angle Flow Rectangular Manifold Polypropylene, 5 Outlets, 3/8 NPT Inlet x 1/4 NPT Outlet, Item 5364K805","In the interest of reducing cost, this manifold helps multiplex flow (i.e. use 1 peristaltic pump for flushing, nutrient delivery, and biomass removal). Polypropylene is chemical-resistant, which is important as Spirulina media is mildly alkaline."
"3/8"" NPT Plug",US Plastic,1,$0.69,$0.69,Seal unused area of Manifold,,"3/8"" NPT Natural Polypropylene Threaded Plug, Item 64726","Seals manifold. Polypropylene is chemical-resistant, which is important as Spirulina media is mildly alkaline."
